GeneName,PMID
DDX41,[31368625]
DUSP22,"[32014946, 30591549, 31601252, 30592196, 31686799, 31445956, 31685299, 31438892, 31436122, 30955977, 28472537, 31879171, 31366504, 30548240, 29451696, 31182061, 31381142, 31290993, 30105871, 29080690, 31561135, 31097096, 30885351, 31721446, 30885328, 30089596, 30442523, 31703637, 29948239, 31606169, 30027464, 31752884, 28499641, 31828427, 31025831, 31200821, 31619231, 31235357, 29803896, 31492985, 31455166, 32048008, 31086949, 30282880, 30938103, 31245924, 29687154, 31804689, 29681240, 31194613, 30885338, 31980929, 30648806, 31449674, 30956278, 31287557, 30773184, 30486741, 29778651, 31277011, 30791870, 30507005, 30058192, 31384932, 30385172, 28507206, 30357709, 29571997, 28623135, 30835006, 29754785, 31030326, 30642457, 31721468, 30819829, 31368625, 31387256, 27413166, 31115697, 31042283, 30259978, 30680608, 29357969, 30273983, 29729529, 29564776, 31041879, 29681411, 31786738, 31713888, 29024471, 30987609, 29645086, 31175902, 31345185, 30527192, 31782256, 30413378, 31123785, 30145925, 31200820, 29042049, 29915891, 30325558, 31053172, 30825015, 31886195, 30295143, 31292396, 30334618, 31631997, 31176206, 31735973, 30783810, 30034229, 30478673, 31699115, 30415902, 31564210, 31237152, 31200819, 29363879, 31515670, 30796356, 30770959, 31126249, 31097082, 30430864, 30734516, 31068179, 31722726, 31027701, 30797489, 30885358, 30889876, 30952734, 30049203, 30952742, 31154543, 30911841, 31497994, 30725206, 31253136, 29460035, 28958068, 30098333, 31771739, 30691492, 29943841, 30941563, 30646616, 31654622, 30616471, 31244320, 31770849, 30337185, 30774636, 32047559, 31088500, 29940884, 31005223, 31088404, 30222060, 31350622, 29782069, 29978725, 30980423, 31425965, 31386568, 29579334, 31097094, 31285672, 30205417, 30149883, 31602468, 28795387, 30950297, 29316288, 29661287, 30229391, 28346656, 31668406, 30797496, 31089757, 30429415, 29550987, 30843065, 30317549, 29656435, 30978569, 30678379, 32159882, 31828882, 29968154, 31265163, 31414902, 30637589, 31118602, 31221221, 29713040, 30859681, 31271118, 30497431, 31037897, 30756482, 31810952, 31387622, 29747545, 30587399, 30822531, 30527174, 31243104, 30506406, 31494736, 28212992, 31056356, 29483918, 28237243, 31142317, 31489465, 28885675, 31456503, 31548826, 31015126, 31109312, 31832068, 31401315, 30652510, 31215445, 29912578, 30666802, 30935565, 32361810, 30952767, 29409112, 30126063, 30642452, 29989448, 31481083, 32125893, 31602661, 30898568, 30480360, 30775858, 31541338, 31066582, 30177585, 30444051, 31282941, 31164317, 30630993, 29758930, 31351746, 31254940, 31147169, 29558888, 30773190, 31499384, 31116035, 29459574, 28800837, 31313100, 30821655, 29301544, 29183778, 30797493, 31207932, 31894386, 31795418, 30900377, 30784913, 30475650, 31526368, 30606672, 30854794, 30315932, 30544255, 31807880, 28780685, 30218747, 31552569, 30919763, 29284349, 31738590, 29195578, 31454018, 29615460, 31134811, 28592139, 28378642, 31564835, 31464032, 30844110, 28714370, 31648501, 30847822]"
EBF1,"[32014946, 30591549, 31601252, 30592196, 31686799, 31445956, 31685299, 31438892, 31436122, 30955977, 28472537, 31879171, 31366504, 30548240, 29451696, 31182061, 31381142, 31290993, 30105871, 29080690, 31561135, 31097096, 30885351, 31721446, 30885328, 30089596, 30442523, 31703637, 29948239, 31606169, 30027464, 31752884, 28499641, 31828427, 31025831, 31200821, 31619231, 31235357, 29803896, 31492985, 31455166, 32048008, 31086949, 30282880, 30938103, 31245924, 29687154, 31804689, 29681240, 31194613, 30885338, 31980929, 30648806, 31449674, 30956278, 31287557, 30773184, 30486741, 29778651, 31277011, 30791870, 30507005, 30058192, 31384932, 30385172, 28507206, 30357709, 29571997, 28623135, 30835006, 29754785, 31030326, 30642457, 31721468, 30819829, 31368625, 31387256, 27413166, 31115697, 31042283, 30259978, 30680608, 29357969, 30273983, 29729529, 29564776, 31041879, 29681411, 31786738, 31713888, 29024471, 30987609, 29645086, 31175902, 31345185, 30527192, 31782256, 30413378, 31123785, 30145925, 31200820, 29042049, 29915891, 30325558, 31053172, 30825015, 31886195, 30295143, 31292396, 30334618, 31631997, 31176206, 31735973, 30783810, 30034229, 30478673, 31699115, 30415902, 31564210, 31237152, 31200819, 29363879, 31515670, 30796356, 30770959, 31126249, 31097082, 30430864, 30734516, 31068179, 31722726, 31027701, 30797489, 30885358, 30889876, 30952734, 30049203, 30952742, 31154543, 30911841, 31497994, 30725206, 31253136, 29460035, 28958068, 30098333, 31771739, 30691492, 29943841, 30941563, 30646616, 31654622, 30616471, 31244320, 31770849, 30337185, 30774636, 32047559, 31088500, 29940884, 31005223, 31088404, 30222060, 31350622, 29782069, 29978725, 30980423, 31425965, 31386568, 29579334, 31097094, 31285672, 30205417, 30149883, 31602468, 28795387, 30950297, 29316288, 29661287, 30229391, 28346656, 31668406, 30797496, 31089757, 30429415, 29550987, 30843065, 30317549, 29656435, 30978569, 30678379, 32159882, 31828882, 29968154, 31265163, 31414902, 30637589, 31118602, 31221221, 29713040, 30859681, 31271118, 30497431, 31037897, 30756482, 31810952, 31387622, 29747545, 30587399, 30822531, 30527174, 31243104, 30506406, 31494736, 28212992, 31056356, 29483918, 28237243, 31142317, 31489465, 28885675, 31456503, 31548826, 31015126, 31109312, 31832068, 31401315, 30652510, 31215445, 29912578, 30666802, 30935565, 32361810, 30952767, 29409112, 30126063, 30642452, 29989448, 31481083, 32125893, 31602661, 30898568, 30480360, 30775858, 31541338, 31066582, 30177585, 30444051, 31282941, 31164317, 30630993, 29758930, 31351746, 31254940, 31147169, 29558888, 30773190, 31499384, 31116035, 29459574, 28800837, 31313100, 30821655, 29301544, 29183778, 30797493, 31207932, 31894386, 31795418, 30900377, 30784913, 30475650, 31526368, 30606672, 30854794, 30315932, 30544255, 31807880, 28780685, 30218747, 31552569, 30919763, 29284349, 31738590, 29195578, 31454018, 29615460, 31134811, 28592139, 28378642, 31564835, 31464032, 30844110, 28714370, 31648501, 31012173, 30322398, 31202850, 30604908, 31387805, 31472996, 31124335, 31823748, 30485693, 30806032, 31331844, 29953591]"
EED,[]
EPHA2,[]
EPOR,"[31068179, 31515670, 31651282, 30941563, 31182061, 31541338, 31097094, 29483918, 30218747, 30357709]"
ETS1,"[32014946, 30591549, 31601252, 30592196, 31686799, 31445956, 31685299, 31438892, 31436122, 30955977, 28472537, 31879171, 31366504, 30548240, 29451696, 31182061, 31381142, 31290993, 30105871, 29080690, 31561135, 31097096, 30885351, 31721446, 30885328, 30089596, 30442523, 31703637, 29948239, 31606169, 30027464, 31752884, 28499641, 31828427, 31025831, 31200821, 31619231, 31235357, 29803896, 31492985, 31455166, 32048008, 31086949, 30282880, 30938103, 31245924, 29687154, 31804689, 29681240, 31194613, 30885338, 31980929, 30648806, 31449674, 30956278, 31287557, 30773184, 30486741, 29778651, 31277011, 30791870, 30507005, 30058192, 31384932, 30385172, 28507206, 30357709, 29571997, 28623135, 30835006, 29754785, 31030326, 30642457, 31721468, 30819829, 31368625, 31387256, 27413166, 31115697, 31042283, 30259978, 30680608, 29357969, 30273983, 29729529, 29564776, 31041879, 29681411, 31786738, 31713888, 29024471, 30987609, 29645086, 31175902, 31345185, 30527192, 31782256, 30413378, 31123785, 30145925, 31200820, 29042049, 29915891, 30325558, 31053172, 30825015, 31886195, 30295143, 31292396, 30334618, 31631997, 31176206, 31735973, 30783810, 30034229, 30478673, 31699115, 30415902, 31564210, 31237152, 31200819, 29363879, 31515670, 30796356, 30770959, 31126249, 31097082, 30430864, 30734516, 31068179, 31722726, 31027701, 30797489, 30885358, 30889876, 30952734, 30049203, 30952742, 31154543, 30911841, 31497994, 30725206, 31253136, 29460035, 28958068, 30098333, 31771739, 30691492, 29943841, 30941563, 30646616, 31654622, 30616471, 31244320, 31770849, 30337185, 30774636, 32047559, 31088500, 29940884, 31005223, 31088404, 30222060, 31350622, 29782069, 29978725, 30980423, 31425965, 31386568, 29579334, 31097094, 31285672, 30205417, 30149883, 31602468, 28795387, 30950297, 29316288, 29661287, 30229391, 28346656, 31668406, 30797496, 31089757, 30429415, 29550987, 30843065, 30317549, 29656435, 30978569, 30678379, 32159882, 31828882, 29968154, 31265163, 31414902, 30637589, 31118602, 31221221, 29713040, 30859681, 31271118, 30497431, 31037897, 30756482, 31810952, 31387622, 29747545, 30587399, 30822531, 30527174, 31243104, 30506406, 31494736, 28212992, 31056356, 29483918, 28237243, 31142317, 31489465, 28885675, 31456503, 31548826, 31015126, 31109312, 31832068, 31401315, 30652510, 31215445, 29912578, 30666802, 30935565, 32361810, 30952767, 29409112, 30126063, 30642452, 29989448, 31481083, 32125893, 31602661, 30898568, 30480360, 30775858, 31541338, 31066582, 30177585, 30444051, 31282941, 31164317, 30630993, 29758930, 31351746, 31254940, 31147169, 29558888, 30773190, 31499384, 31116035, 29459574, 28800837, 31313100, 30821655, 29301544, 29183778, 30797493, 31207932, 31894386, 31795418, 30900377, 30784913, 30475650, 31526368, 30606672, 30854794, 30315932, 30544255, 31807880, 28780685, 30218747, 31552569, 30919763, 29284349, 31738590, 29195578, 31454018, 29615460, 31134811, 28592139, 28378642, 31564835, 31464032, 30844110, 28714370, 31648501, 28825377]"
EWSR1,"[32020709, 31455166, 31253136, 30527174, 30885358, 30938103, 30027464, 28346656, 30089596, 30049203, 29451696, 31097082, 30478673, 30334618, 31235357, 29316288, 31686799, 31042283, 29912578, 30952767, 31154543, 30305125, 31116035, 31290993, 32048008, 29915891, 29357969, 30506406, 31368625, 30774636, 31804689, 30486741, 30941563, 31648501, 30145925, 30591549, 30177585, 31721446, 30205417, 30911841, 30797496, 28472537, 30548240, 29943841, 30357709, 31097096, 31654622, 30295143, 31360113, 31571631, 31215445, 30797489, 30497431, 30282880, 31351746, 29754785, 31782256, 31089925, 31602468, 31200821, 28795387, 31699115, 31097093, 29945708, 30606672, 32159882, 31265163, 29195578, 31221221, 31244320, 30413378, 31147169, 31499384, 31243104, 29536740, 31126249, 31115697, 32234920, 31142317, 28668866, 32248302, 31366504, 30935565, 29352585, 30430864, 30652510, 31436122, 31245924, 31290849, 31659111, 30442523, 31005223, 31097085, 31445956, 32361810, 30609303, 28825377, 31667664, 30485693, 30642452, 30602039, 32014936, 31005209, 31124335, 29782069, 32125893, 31602661, 30592196, 30898568, 31985315, 30775858, 31066582, 30477470, 30832554, 31425965, 30885342, 30485664, 31386568, 30444051, 31631997, 29687154, 29731164, 30843662, 31194613, 29522271, 31097094, 30642457, 31721468, 30783810, 30385172, 31285672, 31182061, 30128865, 29459574, 28800837, 30946796, 30821655, 31497994, 29183778, 30797493, 31200819, 28507206, 30229391, 31739500, 31668406, 28958068, 30089591, 31703637, 29845338, 30791870, 30691492, 27516466, 30623409, 29363879, 31746315, 30544255, 28780685, 31829203, 31828882, 30919763, 31738590, 30646616, 31414902, 30637589, 30825015, 31030326, 30770959, 30259978, 31134811, 31553706, 31464032, 30616471, 31770849, 31271118, 27413166, 32047559]"
FOXO1,[30690883]
FOXR2,[]
